ID,Español,Ingles
2,Nueva Partida,New Game
3,Continuar,Continue
4,Opciones,Options
5,Créditos,Credits
6,Juego,Gameplay
7,Pantalla,Screen
8,Audio,Audio
9,Controles,Controls
10,Accesibilidad,Accesibility
11,Temblor de Pantalla,Shake Screen
12,Vibración,Vibration
13,Asistencia de Apuntado,Aim Assistant
14,Temporizador del Intento,Timer to Run
15,Números de Daño,Damage Numbers
16,Idioma,Language
17,Resolución,Resolution
18,Modo de Pantalla,Screen Mode
19,Fijar Cursor,Lock Cursor
20,VSync,VSync
21,Limite de FPS,FPS Limit
22,General,General
23,Música,Music
24,Efectos de Sonido,SFX
25,Acción / Uso,Action / Use
26,Ataque,Attack
27,Esquivar / Evadir,Dodge
28,Habilidad Principal,Skill 1
29,Habilidad Secundaria,Skill 2
30,Habilidad de Fragmentos,Fragment Skill
31,Inventario,Inventory
32,Pausa,Pause
33,¡Sala Completada!,Room Complete!
34,,
35,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
